id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
1,IA,IA_Bellevue_1,2016,MD,6g,54.6,1029,0.97,0.79,0.96,,,0.59,3.64,0.64,,
2,IA,IA_Church_1,2016,MD,6g,38.2,11749,1,0.73,0.86,,,0.01,0.81,0.42,,
3,IA,IA_New Albin_1,2016,MD,6g,31.1,742,0.92,0.72,0.75,,,0.19,0.64,0.58,,
4,IL,IL_StarvedRock_LaSalle,2016,MD,6g,74.7,63697,0.50,0.29,1,,,2.18,3.09,,,
5,IN,IN_Argos_2016,2016,MD,6g,26.8,867,0.96,-0.13,0.58,,,0.78,24.26,9.07,,
6,IN,IN_Atwood_1,2016,Btk-MD,38BIUx2,4.9,8,,,,,,,,,,
7,IN,IN_Atwood_2016,2016,MD,6g,4.1,1828,0.98,0.94,0.90,,,0.43,1.29,2.07,,
8,IN,IN_Donaldson_2016,2016,MD,6g,20.6,1524,1,0.99,0.98,,,0,0.25,0.57,,
9,IN,IN_Donaldson_2016_Center,2016,MD,6g,24.3,920,1,0.94,0.95,,,0,0.76,0.62,,
10,IN,IN_Donaldson_2016_South,2016,MD,6g,26.7,226,1,1,0.99,,,0.05,0.13,0.56,,
11,IN,IN_Inwood_2016,2016,MD,6g,17.8,584,0.97,0.58,0.97,,,0.44,6.45,0.53,,
12,IN,IN_Inwood_2016_East,2016,MD,6g,15.2,108,1,1,0.99,,,0.03,0,0.10,,
13,IN,IN_Lakeville_2016,2016,Btk,25BIUx2,-4.7,124,1,1,1,,,0.10,0.34,0.35,,
14,IN,IN_Laporte East_2016,2016,Btk,25BIUx2,-6.4,310,-0.78,0.84,0.25,,,1.13,0.10,0.48,,
15,IN,IN_Lorane_2016,2016,Btk,25BIUx2,-5.5,84,0.94,0.80,0.70,,,0.26,0.84,1.25,,
16,IN,IN_Pierceton_2016,2016,Btk,25BIUx2,-4.7,649,0.70,0.65,0.96,,,13.18,15.33,1.98,,
17,MN,MN_Ely_1,2016,Btk,24BIUx2,62.5,565,0.94,0.99,1,,,9.32,0.58,0,,
18,MN,MN_Houston_1,2016,MD,6g,35.3,960,1,1,0.99,,,0.04,0,0.06,,
19,MN,MN_Mound Prairie_1,2016,MD,6g,23.3,2987,0.95,1,-1.58,,,0.17,0,8.23,,
20,MN,MN_Reno_1,2016,MD,6g,24.4,1797,0.93,0.94,0.06,,,0.10,0.08,1.24,,
21,MN,MN_Two Harbors_1,2016,Btk,24BIUx2,5.8,570,0.96,0.97,1,,,0.99,0.77,0,,
22,NC,NC_Buxton_1,2016,Btk,38BIUx2,212.3,30,-18.76,-13.71,1,,,128.88,95.91,0,,
23,NC,NC_Buxton_2,2016,NPV,5x10^12,212.9,1478,-6.76,-5.01,1,,,12.50,9.69,0,,
24,NC,NC_Jacksonville NE_1,2016,Btk,24BIUx2,220.1,1044,1,1,1,,,,,,,
25,NC,NC_Leasburg_1,2016,Btk-MD,24BIUx1,23.7,448,1,1,0.99,,,0.25,0,2.39,,
26,NC,NC_Leasburg_2,2016,MD,6g,23.4,1398,1,1,0.98,,,0.24,0.32,3.24,,
27,NC,NC_Nashville_1,2016,MD,6g,93.7,457,,,,,,,,,,
28,NC,NC_Northwest Eden_1,2016,MD,6g,19.8,843,0.99,0.97,0.92,,,0.34,0.80,5.78,,
29,NC,NC_Ringgold_1,2016,Btk,24BIUx2,17.3,1792,0.99,0.96,1,,,0.13,0.73,0.09,,
30,NC,NC_Ruffin_1,2016,Btk,24BIUx2,27.3,607,1,0.99,1,,,0.37,0.54,0,,
31,NC,NC_Spring Hope_1,2016,MD,6g,96.8,542,1,0,1,,,0,10.43,0,,
32,NC,NC_Topsail_1,2016,Btk,24BIUx2,264.1,993,0.81,1,1,,,58.62,,1.19,,
33,NC,NC_Yanceyville_1,2016,MD,6g,22.9,1805,0.98,1,0.88,,,0.25,0.01,2.65,,
