id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
1,IL,Castle Rock,2009,MD,6g,31.5,2578,0.72,0.71,1,1,1,0.50,0.51,0,0,0
2,IL,Dixon,2009,Btk,24BIUx2,49.1,152,0.84,0.04,0.98,1,1,0.94,5.76,0.18,0,0
3,IL,Lena,2009,Btk,24BIUx2,19.1,539,-5.95,-0.87,-1.06,0,1,23.94,6.43,7.10,3.44,0
4,IL,Lost Lake,2009,MD,6g,34.4,3933,0.87,0.73,1,1,1,0.29,0.56,0,0,0
5,IL,Lowden-Miller,2009,Btk,24BIUx1,32.1,243,1,0.98,1,1,1,0,0.09,0,0,0
6,IL,Marseilles,2009,MD,6g,58.5,1330,1,0.75,0.39,1,1,0,0.88,2.17,0.02,0
7,IL,Oglesby,2009,Btk,24BIUx2,75.9,407,1,0.78,0.90,-1.93,-1.11,0,0.98,0.44,18.76,9.52
8,IL,Oglesby_MD,2009,MD,6g,76.4,461,1,0.27,0.36,-10.69,-5.43,0,1.89,1.65,45.55,16.57
9,IL,Oregon,2009,MD,6g,22.4,1413,0.87,0.58,0.42,0.84,1,0.25,0.81,1.12,0.38,0
10,IL,Sheridan,2009,MD,6g,46.5,676,0.66,-1.82,-3.92,1,1,0.53,4.34,7.58,0,0
11,IL,Starved Rock,2009,MD,6g,72.4,1064,1,0.73,-4.69,0.53,-0.62,0,0.51,10.83,1.05,3.08
12,IN,Arilington Park 09,2009,Btk,25BIUx2,-3.4,2483,0.47,0.33,0.88,0.84,0.78,3.05,3.90,0.67,0.94,1.29
13,IN,Beatty 09,2009,Btk,25BIUx2,-8.1,360,0.63,0.39,0.49,0.79,0.65,0.38,0.63,0.52,0.22,0.36
14,IN,Crescent 09,2009,Btk,25BIUx2,-4.9,92,-2.24,-0.20,0.56,0.55,0.71,2.73,1.01,0.37,0.38,0.25
15,IN,Lindenwood 09,2009,Btk,25BIUx2,-3.7,357,-3.09,-0.46,0.48,-3.14,0.65,8.81,3.14,1.12,8.91,0.75
