id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
1,IL,Goodings Grove BTK,2012,Btk,24BIUx2,2.1,259,0.96,0.99,0.99,0.95,0.90,0.79,0.10,0.25,1.01,1.78
2,IL,Hanover MD,2012,MD,6g,42.1,2490,1,1,0.99,0.93,0.88,0,0,0.14,1.91,3.18
3,IL,Huntley,2012,Btk,24BIUx2,-27.1,62,-0.01,-0.65,-0.46,0.80,,3.74,6.10,5.37,0.73,
4,IL,Lansing MD,2012,MD,15g,1.7,3513,0.99,0.99,1,0.71,0.99,0.11,0.13,0.02,4.95,0.10
5,IL,Lockport BTK,2012,Btk,24BIUx2,4.3,184,0.70,0.99,0.86,0.93,0.95,3.29,0.15,1.51,0.79,0.54
6,IL,Lockport BTK2,2012,Btk,24BIUx2,5.3,80,0.73,0.91,1,0.71,0.78,0.87,0.29,0,0.92,0.70
7,IL,Rockford MD,2012,MD,6g,-9.2,3502,1,0.96,0.95,0.65,0.01,0.01,0.24,0.30,2.13,6.03
8,IL,Sheridan BTK1,2012,Btk,24BIUx2,45.3,87,1,1,1,0.98,0.96,0,0,0,0.83,1.54
9,IL,Sheridan BTK2,2012,Btk,24BIUx2,42.5,72,1,1,1,0.98,0.98,0,0,0,1.62,1.65
10,IL,Shirland BTK,2012,Btk,24BIUx2,-17.3,338,0.91,1,1,0.98,0.95,1.47,0,0,0.36,0.85
11,IL,Shirland BTK 3,2012,Btk,24BIUx2,-20.8,19,0.85,0.99,0.99,0.97,0.94,1.45,0.09,0.07,0.27,0.54
12,IL,Shirland BTK2,2012,Btk,24BIUx2,-18.5,11,0.31,1,1,0.96,0.94,3.35,0,0,0.21,0.29
13,IL,Shirland BTK4,2012,Btk,24BIUx2,-22.1,8,0.98,0.97,0.98,0.91,0.82,0.07,0.10,0.09,0.33,0.67
14,IL,Tinley Park,2012,MD,15g,3.4,8936,1,1,1,0.94,0.93,0,0,0.05,0.82,1
