id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
1,IL,Argonne,2007,Btk,24BIUx2,-7.5,318,0.88,0.94,0.98,0.99,0.99,5.86,2.72,1.05,0.62,0.51
2,IL,Burr Ridge,2007,Btk,24BIUx2,-13.3,1063,0.96,0.98,0.99,0.99,0.99,4.82,2.30,0.84,1.02,0.64
3,IL,Lisle,2007,Btk,24BIUx2,-9.8,269,-3.27,0.87,0.61,0.23,0.54,18.19,0.56,1.68,3.26,1.96
4,IL,Rock Cut MD,2007,MD,6g,-21.3,2373,1,1,0.90,0.94,0.55,0,0.03,0.55,0.33,2.40
5,IL,Rockford Btk,2007,Btk,24BIUx2,-12.1,77,0.39,0.98,0.67,0.86,0.99,12.77,0.48,6.96,2.89,0.25
6,IL,Rockford MD,2007,MD,6g,-12.7,775,-0.05,0.94,0.33,0.80,0.97,12.92,0.78,8.28,2.44,0.37
7,IL,Sharp Road,2007,MD,6g,-22.9,206,0.98,0.86,,0.43,0.26,0.04,0.32,,1.33,1.74
8,IL,St. Charles,2007,Btk,24BIUx2,-14.1,421,0.95,0.95,0.98,0.96,0.97,3.15,2.94,1.22,2.29,1.57
9,IL,State Line,2007,Btk,24BIUx2,-21.1,156,0.88,0.85,,0.69,0.74,1.06,1.28,,2.72,2.21
10,IL,State Line MD,2007,MD,6g,-19.7,1047,0.80,0.82,,0.20,0.24,0.85,0.78,,3.40,3.25
11,IL,Warrenville,2007,Btk,24BIUx2,-10,192,0.26,0.20,0.51,0.59,0.76,1.08,1.16,0.72,0.60,0.35
12,IL,Woodridge,2007,Btk,24BIUx2,-4.2,191,0.80,0.98,0.99,0.99,0.97,12.07,1.09,0.36,0.44,2.04
13,IL,Yale Bridge,2007,Btk,24BIUx2,-23.3,15,,,,,,,,,,
14,IN,Aberdeen,2007,MD,6g,8.2,11039,1,0.95,0.91,0.92,0.85,0.02,0.26,0.41,0.37,0.73
15,IN,Blue Lake 07,2007,Btk,25BIUx2,-25.1,77,0.98,0.96,0.95,0.92,0.96,0.21,0.40,0.57,0.90,0.48
16,IN,CR9 & 36,2007,Btk,25BIUx2,-23.5,26,0.82,0.58,0.58,0.95,0.73,1.48,3.51,3.47,0.43,2.26
17,IN,Cedarville MD,2007,MD,15g,-13.1,9494,0.94,0.99,0.90,0.78,0.91,0.32,0.07,0.49,1.12,0.45
18,IN,Churubusco Woods,2007,Btk,25BIUx2,-23.3,129,0.96,0.97,0.97,0.97,0.99,1.51,1.20,1.10,1.21,0.52
19,IN,Coldwater,2007,Btk,25BIUx2,-13.8,1398,0.83,0.96,0.91,0.93,0.82,1.90,0.47,0.98,0.84,2.04
20,IN,Crescent,2007,Btk,25BIUx2,-5.1,27,1,0.98,0.95,0.98,0.99,0.04,1.23,3.62,1.19,0.73
21,IN,Crestwood MD,2007,MD,6g,-8.9,2254,0.63,0.19,0.88,0.78,0.60,1.57,3.48,0.52,0.93,1.71
22,IN,ERADICOTE,2007,Dim,1oz,-7,34,0.55,0.81,0.62,0.90,0.71,1.58,0.67,1.34,0.37,1.03
23,IN,Goshen 07,2007,Btk,25BIUx2,-29.9,926,0.70,0.83,0.92,0.80,0.91,2.71,1.49,0.73,1.81,0.76
24,IN,Grabill,2007,Btk,38BIUx1,-11.4,418,0.98,0.95,0.70,0.82,0.87,0.14,0.32,1.90,1.12,0.80
25,IN,HOFFMAN,2007,Dim,1oz,13.6,4,,,,,,,,,,
26,IN,Hathaway,2007,Btk,25BIUx2,-17.3,1335,0.93,-0.04,0.87,0.69,0.60,0.63,9.30,1.19,2.73,3.55
27,IN,LINVILLE,2007,Dim,1oz,-20,1,,,,,,,,,,
28,IN,Maplecrest,2007,Btk,25BIUx2,-2.1,600,-6.48,-13.47,-15.58,-44.72,-4.09,2.95,5.71,6.55,18.05,2.01
29,IN,Nebo,2007,Btk,25BIUx2,92.3,299,0.82,1,1,0.99,1,11.89,0,0.11,0.76,0
30,IN,Parkridge Smith,2007,Btk,25BIUx2,-10.7,1146,-0.78,0.48,0.26,0.92,0.48,9.94,2.91,4.14,0.45,2.88
31,IN,RILEY ROAD 07,2007,Dim,1oz,-17.4,2,0.89,0.92,0.89,0.94,0.97,1.25,0.86,1.26,0.71,0.37
32,IN,SUN OIL,2007,Dim,1oz,-11.7,2,,,,,,,,,,
33,IN,SUN OIL 2,2007,Dim,1oz,-29.4,5,,,,,,,,,,
34,IN,Wakarusa 07,2007,Btk,25BIUx2,-19.3,206,0.79,0.62,0.98,0.96,0.98,5.04,9.06,0.58,0.91,0.46
35,IN,Willowcreek,2007,Btk,25BIUx2,-2.8,748,0.74,0.67,0.80,0.93,0.94,1.52,1.96,1.21,0.42,0.37
36,NC,Berea,2007,MD,6g,36.3,933,1,1,1,1,1,0.06,0,0.06,0,0
37,NC,Brosville NC,2007,MD,6g,20.3,672,0.92,1,0.75,1,1,0.71,0,2.28,0,0
38,NC,Corapeake,2007,MD,15g,66,1035,0.96,1,0.97,0.96,0.99,0.19,0,0.12,0.18,0.04
39,NC,Granite Falls,2007,Btk,25BIUx2,87.9,596,1,0.18,1,1,1,0,13.50,0,0,0
40,NC,Knotts Island,2007,MD,15g,73,600,-2,0.86,0.89,-0.88,0.97,0.33,0.02,0.01,0.21,0
41,NC,Macon East,2007,Btk,25BIUx2,46.4,361,0.99,0.94,0.98,1,1,0.57,4.62,1.73,0.08,0.59
42,NC,Macon West,2007,Btk,25BIUx2,38,413,1,1,0.98,1,1,0.06,0,1.08,0,0
43,NC,Oxford-ground,2007,Dim,1oz,31.9,8,,,,,,,,,,
44,NC,Ruffin,2007,MD,6g,35.4,500,0.83,1,0.78,0.88,1,1.84,0,2.31,1.26,0
45,NC,Weldon,2007,Btk,25BIUx2,69.5,350,0.99,1,1,1,1,0.66,0.26,0,0,0
46,OH,Addyston07,2007,Btk,25BIUx2,206.5,207,1,0.68,1,1,1,0,22.92,0,0,
47,OH,Bainbridge07,2007,Btk,38BIUx1,137.3,2431,1,1,0.98,0.98,0.82,0.03,0,0.16,0.21,21.33
48,OH,Bellbrook07,2007,Btk,25BIUx2,153.7,649,0.99,1,1,1,1,2.24,0,0.02,0,0
49,OH,Cedarville07,2007,Btk,25BIUx2,125.8,11,,,,,,,,,,
50,OH,Cincinnati-Delhi07,2007,Btk,25BIUx2,220.4,1520,0.99,0.99,0.94,1,1,0.47,0.65,3.39,0.09,0
51,OH,CincinnatiEast07,2007,Btk,25BIUx2,209.3,368,-0.02,0.93,1,1,0.96,29.46,1.87,0,0,3.96
52,OH,CincinnatiWest07,2007,Btk,25BIUx2,206.9,193,1,1,0.98,0.93,1,0,0,0.15,0.77,0
53,OH,CliftonNorth07a,2007,Btk,25BIUx2,121.8,29,0.40,1,0.84,-1.63,1,14.79,0,3.90,64.87,0
54,OH,CliftonNorth07b,2007,Btk,25BIUx2,122.6,45,-0.16,1,0.92,-2.18,1,17.89,0,1.19,49.08,0
55,OH,Continental07MD,2007,MD,6g,28.6,23403,0.82,0.92,0.75,0.84,0.45,0.46,0.21,0.66,0.41,1.43
56,OH,Donnellsville07,2007,Btk,38BIUx1,123.4,986,1,1,0.94,1,1,0,0,0.82,0,0.03
