id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
1,IA,Andrew,2011,MD,6g,66,57891,1,0.91,0.77,0.64,0.78,0,1.08,0.71,2.01,0.66
2,IA,Freeport N,2011,MD,6g,52.7,16696,0.99,1,0.72,0.73,0.85,0.02,0,0.76,3.25,0.40
3,IA,Freeport S,2011,MD,6g,62.1,71458,1,0.94,0.60,1,0.84,0,0.13,0.87,0,0.36
4,IA,Harpers Ferry,2011,MD,6g,43.1,1333,0.38,0.78,0.87,1,-0.66,1.37,0.67,0.28,0,3.65
5,IA,La Motte,2011,MD,6g,55,10247,0.74,0.93,0.67,-0.19,0.60,0.50,0.13,0.63,2.30,0.77
6,IL,Aurora BTK,2011,Btk,24BIUx2,4.6,30,0.92,0.83,0.83,-1.23,0.94,0.07,0.16,0.16,2.05,0.06
7,IL,Cedarville,2011,Btk,24BIUx2,8.1,166,1,0.96,1,0.72,0.77,0,0.39,0,3.02,2.41
8,IL,Channahon MD,2011,MD,6g,28.7,1572,0.83,0.99,1,1,0.86,0.85,0.07,0,0.01,0.68
9,IL,DePue  MD,2011,MD,6g,86.8,1532,0.96,1,1,0.98,0.98,2.27,,0,0.60,0.59
10,IL,Joliet BTK 1,2011,Btk-MD,24BIUx1,12.7,686,0.97,1,0.78,0.47,0.51,0.30,0.04,2.44,5.96,5.60
11,IL,Joliet BTK 2,2011,Btk,24BIUx2,21.5,214,1,0.80,1,0.76,0.63,0,1.32,0,1.52,2.41
12,IL,Joliet MD,2011,MD,6g,13.7,2863,0.96,0.99,0.69,0.57,0.33,0.29,0.05,2.35,3.20,4.98
13,IL,Lena  BTK,2011,Btk,24BIUx2,17.8,24,0.89,0.70,1,0.99,0.90,3,8.39,0,0.29,2.75
14,IL,Lena  MD,2011,MD,6g,15.1,1372,0.99,0.97,1,0.35,0.88,0.07,0.17,0,11.51,0.82
15,IL,Lena MD 2,2011,MD,6g,11.2,264,1,1,1,0.96,0.85,0,0,0,0.14,0.52
16,IL,Lena MD3,2011,MD,6g,13.2,784,1,1,1,0.84,0.75,0,0,0,0.37,0.41
17,IL,Minooka BTK 1,2011,Btk,24BIUx2,27,64,-0.07,1,1,1,0.94,5.73,0,0,0,0.30
18,IL,Minooka BTK 2,2011,Btk,24BIUx2,26.1,92,0.94,0.96,1,1,0.95,0.24,0.18,0,0,0.21
19,IL,Minooka BTK 3,2011,Btk,24BIUx2,28.1,59,1,1,1,1,0.92,0,0,0,0,0.58
20,IL,Oswego MD,2011,MD,6g,16.4,658,0.76,1,0.92,0.92,0.89,1.29,0.01,0.44,0.41,0.58
21,IL,Pecatonica,2011,Btk,24BIUx2,4.6,743,1,1,1,1,0.56,0,0,0,0.01,4.53
22,IL,Pecatonica2,2011,Btk,24BIUx2,1.4,51,1,1,1,1,0.95,0,0,0,0,0.29
23,IL,Pecatonica3,2011,Btk,24BIUx2,3.4,7,,,,,,,,,,
24,IL,Pecatonica4,2011,Btk,24BIUx2,6.7,11,,,,,,,,,,
25,IL,Rock City BTK,2011,Btk,24BIUx2,-2.9,18,0.87,0.99,1,0.93,0.99,2.57,0.12,0,1.33,0.12
26,IL,Rockford BTK 1,2011,Btk,24BIUx2,-14.2,41,0.88,1,1,1,1,7.95,0,0,0.22,0.14
27,IL,Rockford BTK 2,2011,Btk,24BIUx2,-14.4,41,0.81,0.99,0.99,0.99,0.96,2.12,0.08,0.08,0.12,0.39
28,IL,Rockford BTK 3,2011,Btk,24BIUx2,-13.9,43,0.88,0.96,1,0.89,0.90,1.27,0.40,0.03,1.18,1.02
29,IL,Rockford MD,2011,MD,6g,-12.5,1278,0.90,1,0.49,-0.17,0.14,0.33,0,1.73,3.95,2.91
30,IL,Stockton MD,2011,MD,6g,25.6,1886,0.98,1,1,1,0.98,0.07,0,,0,0.10
31,IN,350 East 1,2011,MD,6g,0.8,3556,0.98,0.98,0.86,0.94,0.34,0.07,0.06,0.56,0.24,2.65
32,IN,350 East 2,2011,MD,6g,1,1241,0.95,1,0.95,0.96,0.88,0.07,0,0.06,0.05,0.16
33,IN,350 East 3,2011,MD,6g,5.3,240,1,1,-0.41,0.08,0.11,0,0,2.16,1.41,1.37
34,IN,350 East 4,2011,MD,6g,3,410,0.98,1,0.83,0.96,0.94,0.04,0,0.37,0.09,0.12
35,IN,350 East 5,2011,MD,6g,1.6,94,0.97,0.98,0.99,0.98,0.82,0.04,0.02,0.02,0.03,0.21
36,IN,350 East 6,2011,MD,6g,0.2,108,0.98,0.92,0.92,0.95,0.74,0.03,0.10,0.10,0.06,0.31
